,date,tweet,hashtags
206,2021-02-28,Um filme ácido com uma ótima crítica ao mundo corporativo. Eu gostei. #EuMeimporto,#EuMeimporto
207,2021-02-28,"Assistindo #EuMeimporto e ok que ela é uma pessoa ruim, masss ela serviu pra no final acontecer isso?????? Ah não",#EuMeimporto
208,2021-02-28,"Acabei de assistir #EuMeImporto super indico na @NetflixBrasil, só dou spoiler que Marla não se da bem no final. UFAAAAAAAA  #Filme","#EuMeImporto, #Filme"
209,2021-02-28,Retiro o que eu disse que tesão de final kkkkkkkkkkkkk ela morreu essa fdp #EuMeimporto kkkkkk,#EuMeimporto
212,2021-02-28,E o #EuMeimporto   Gostaram?,#EuMeimporto
213,2021-02-28,#EuMeImporto é muito bom!!!!,#EuMeImporto
214,2021-02-28,Vendo o filme #EuMeImporto e CHOCADO com a @netflix  (como sempre) zombando da cara da audiência e criando roteiros completamente absurdos.,#EuMeImporto
215,2021-02-28,Todo mundo já falou e vou me juntar: #ICareALotNetflix #EuMeImporto é ótimo!,"#ICareALotNetflix, #EuMeImporto"
216,2021-02-28,nunca odiei e desejei tanto a morte de um protagonista  #eumeimporto,#eumeimporto
218,2021-02-27,"#EuMeimporto filme do caralho, desgraçada, piranha, safada  N mexe cos Véio",#EuMeimporto
219,2021-02-27,"2 horas perdidas assistindo #EuMeImporto na Netflix... que filme ruim, péssimo... 🤦🏽‍♀️🤦🏽‍♀️",#EuMeImporto
220,2021-02-27,#eumeimporto joga na cara o óbvio: o quanto as empresas geram seu capital explorando outro: o capital humano.,#eumeimporto
221,2021-02-27,@IsabelaUT Vai ver o filme #EuMeimporto da @NetflixBrasil babado,#EuMeimporto
222,2021-02-27,A senhora do filme #ICareALot #EuMeimporto morre? Aí gente eu tô com dó da senhora sério,"#ICareALot, #EuMeimporto"
223,2021-02-27,"@NetflixBrasil  que filme mais idiota. Meu Deus, que porra e essw. Que filme lixo #eumeimporto",#eumeimporto
