,date,tweet,hashtags
609,2019-09-23,Nossa... cheguei no episodio q explica o motivo desse Breno (sergio guizé q eu tava morrendo de ranço) ser tao cuzão... coitado #sessaodeterapia,#sessaodeterapia
612,2019-09-22,Só sei q quero um terapeuta igual o Selton Mello em #SessaodeTerapia,#SessaodeTerapia
613,2019-09-22,Preciso de terapia pra superar o fim de #SessaodeTerapia,#SessaodeTerapia
614,2019-09-22,"Minha gente a hora com Dr Caio é 400,00 golpes , minha terapeuta cobra 80,00. #SessaodeTerapia",#SessaodeTerapia
616,2019-09-21,"O que é Nathalia Timberg em #SessaodeTerapia ? Que coisa mais linda o duelo com Selton Melo!!! Impactada, emocionada, apaixonada",#SessaodeTerapia
617,2019-09-21,"E o tanto que eu choro assistindo #SessaodeTerapia ? O olhar emocionado do Selton Mello pros personagens, quando eles estão no auge da vulnerabilidade, me joga no chão.",#SessaodeTerapia
618,2019-09-21,#SessãodeTerapia Segunda - Júlia  Terça - Breno  Quarta - Nina  Quinta - Ana e João  Sexta - supervisão c/ Dora,#SessãodeTerapia
621,2019-09-20,Comecei a ver #sessaodeterapia já gostei por ser episódios curtos.,#sessaodeterapia
622,2019-09-20,"Socorro @globoplay !! Terminei #SessãodeTerapia esse hino não pode acabar, ainda não tive alta. Chama Selton de volta pra gravar a próxima temporada urgente!",#SessãodeTerapia
625,2019-09-19,Você percebe que ta viciado em signos quando começa a pensar qual seriam os signos dos personagens da série #SessaodeTerapia,#SessaodeTerapia
627,2019-09-19,Terminei a quarta temporada de #SessaoDeTerapia. Guilhermina e Haidee para sempre em meu coração. Que maravilha acompanhar as duas.,#SessaoDeTerapia
630,2019-09-19,"Vejam #SessaoDeTerapia ! Simplesmente incrível! E que atuações fantásticas do Selton Mello, da Fabiula Nascimento e da Cecilia Homem de Mello! 👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿",#SessaoDeTerapia
631,2019-09-19,@fabiunascimento O q é vc como Chiara?!? Amando assistir #SessaoDeTerapia muito foda!!,#SessaoDeTerapia
632,2019-09-18,"Queria saber se uzamigo da psicologia acham que #SessaodeTerapia mais ajuda ou atrapalha o trabalho deles. Imagino que a aproximação com o tema ajude, mas a roteirização crie uma visão idealizada que toda sessão é cheia de cliques mentais e que todo terapeuta é cm o Caio...🤔",#SessaodeTerapia
636,2019-09-18,Sobre Sessão de Terapia: o último episódio da Haidée &lt;3 &lt;3  &lt;3  #SessãodeTerapia,#SessãodeTerapia
638,2019-09-18,"eu terminei #SessãodeTerapia  impressionada comigo mesma por conseguir ver uma série com 35 episódios.   mas é compreensível. A série é muito boa e te consome.  eu me emocionei demais com o último episódio da Haidée. Todos os pacientes são excelentes, conflitos excelentes.",#SessãodeTerapia
639,2019-09-17,"Acabei a quarta (e última) temporada de #visavis...chorei, claro...kkkkkkkk...mas bola pra frente, to assistindo #sessaodeterapia , com o #seltonmello. Sensacional, a série e ele! Assistam! 😉","#visavis, #sessaodeterapia, #seltonmello"
641,2019-09-17,"a dor não se mede, mas privilégio sim #feelings #SessaodeTerapia","#feelings, #SessaodeTerapia"
642,2019-09-17,Podia entrar o comercial da #SessaoDeTerapia do globo play agora pq é disso que o Camilo ta precisando  #ADonadoPedaco,"#SessaoDeTerapia, #ADonadoPedaco"
644,2019-09-16,"Acho que todo mundo deveria ser obrigado a assistir a sessões da Haideé, na nova temporada de #SessaoDeTerapia. Coisa mais linda! Mas tem que ver do começo ao fim. #Globoplay","#SessaoDeTerapia, #Globoplay"
646,2019-09-16,Crescer dói!! #SessãodeTerapia,#SessãodeTerapia
647,2019-09-16,A gente não tá perdendo tempo falando da vida ao invés de viver? @globoplay #SessaodeTerapia,#SessaodeTerapia
648,2019-09-16,Ver #SessãodeTerapia é muito mais divertido quando você faz análise.,#SessãodeTerapia
649,2019-09-16,Finalizei a temporada de #SessaodeTerapia . Haidée melhor personagem e que lição. Já quero ler os livros citados no episódio da Maria Lucia.,#SessaodeTerapia
651,2019-09-15,Na série #SessãoDeTerapia do @globoplay o terapeuta Caio (Selton Mello) cobra R$ 400 por sessão. Espero que a minha psicóloga não assista. 😂🤣,#SessãoDeTerapia
